                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15943,                 290.07,                0.09516,                      0,                      0,                      0,                      0,                0.00487,                  539.5,                0.00276,                0.00011,                0.00011,                0.00011
                      1,                0.18642,                 262.22,                 0.1187,                      0,                      0,                      0,                      0,                0.00485,                  539.5,                0.00274,             0.00022954,             0.00022954,             0.00022954
                      2,                0.07606,                 225.62,                0.04288,                      0,                      0,                      0,                      0,                0.00452,                 479.75,                0.00255,             0.00034861,             0.00034861,             0.00034861
                      3,                0.42029,                 203.58,                0.21197,                      0,                      0,                      0,                      0,                0.00267,                 153.12,                0.00157,             0.00046721,             0.00046721,             0.00046721
                      4,                  3.735,                 140.43,                 1.7539,                      0,                      0,                      0,                      0,                0.00073,                  179.5,                0.00049,             0.00058533,             0.00058533,             0.00058533
                      5,                 5.0813,                   17.8,                 2.2123,                      0,                      0,                      0,                      0,                 0.0002,                 129.62,                 0.0002,             0.00070297,             0.00070297,             0.00070297
                      6,                 4.5697,                 5.9702,                 1.3949,                      0,                      0,                      0,                      0,                0.00033,                 103.33,                 0.0003,             0.00082014,             0.00082014,             0.00082014
                      7,                 4.3958,                 4.1124,                 1.2516,                      0,                      0,                      0,                      0,                 0.0003,                 102.69,                0.00029,             0.00093683,             0.00093683,             0.00093683
                      8,                 4.1757,                 3.6349,                 1.1955,                      0,                      0,                      0,                      0,                 0.0003,                 98.938,                0.00026,             0.00098416,             0.00098416,             0.00098416
                      9,                 3.9174,                 3.4463,                 1.1459,                      0,                      0,                      0,                      0,                0.00011,                 94.812,                0.00013,             0.00098416,             0.00098416,             0.00098416
                     10,                 3.7365,                 3.3465,                 1.1239,                      0,                      0,                      0,                      0,                0.16089,                     93,                0.03515,             0.00098218,             0.00098218,             0.00098218
