                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.316,                 273.64,                 2.6557,                      0,                      0,                      0,                      0,                 1.1882,                 168.98,                0.69256,                0.00325,                0.00325,                0.00325
                      2,                 4.8197,                  15.24,                 2.3545,                      0,                      0,                      0,                      0,                0.36185,                0.30645,                0.22607,              0.0065822,              0.0065822,              0.0065822
                      3,                 4.1588,                 3.0524,                 1.3347,                 0.0563,                0.09838,                0.01701,                0.00385,                 3.7066,                 4.5125,                 1.3058,              0.0099134,              0.0099134,              0.0099134
                      4,                 3.5857,                 2.6394,                 1.1948,                  0.096,                0.15079,                0.04137,                0.00816,                 3.5308,                    inf,                  1.272,              0.0099951,              0.0099951,              0.0099951
                      5,                 3.2085,                 2.2947,                 1.1014,                0.21122,                0.23128,                0.12468,                0.03416,                 2.8943,                 5.4219,                 1.1033,              0.0099951,              0.0099951,              0.0099951
                      6,                 3.0002,                 2.1426,                 1.0635,                0.23969,                0.27564,                 0.1446,                0.04111,                 2.8135,                 2.3323,                 1.0761,              0.0099934,              0.0099934,              0.0099934
                      7,                 2.8422,                 1.9256,                 1.0266,                0.37414,                0.26508,                0.21155,                0.06005,                 3.0361,                 2.9586,                 1.0809,              0.0099918,              0.0099918,              0.0099918
                      8,                 2.7422,                 1.8325,                 1.0091,                0.40822,                0.31799,                0.26774,                0.07395,                 2.7291,                 1.7717,                  1.036,              0.0099901,              0.0099901,              0.0099901
                      9,                 2.6465,                 1.7125,                0.99547,                 0.4309,                0.36944,                 0.3327,                0.11231,                 2.4984,                 1.6544,                 1.0052,              0.0099884,              0.0099884,              0.0099884
                     10,                 2.5766,                 1.6096,                0.98659,                0.56251,                0.41667,                0.43767,                0.15415,                 2.4501,                 1.5337,                0.99072,              0.0099868,              0.0099868,              0.0099868
                     11,                 2.5466,                 1.5641,                0.98145,                0.34196,                0.21596,                0.15804,                0.03717,                 3.3235,                 2.0824,                 1.1338,              0.0099851,              0.0099851,              0.0099851
                     12,                 2.4758,                 1.4954,                0.97121,                0.60796,                0.47031,                0.50005,                0.20164,                 2.2445,                 1.5047,                0.96926,              0.0099835,              0.0099835,              0.0099835
                     13,                 2.4289,                 1.4635,                0.96612,                0.46591,                0.35854,                0.33624,                 0.1171,                 2.4884,                 1.7766,                 1.0015,              0.0099819,              0.0099819,              0.0099819
                     14,                 2.3847,                 1.3953,                0.95819,                 0.6627,                0.53019,                0.57623,                0.21974,                 2.2935,                 1.3008,                0.95869,              0.0099802,              0.0099802,              0.0099802
                     15,                 2.3405,                  1.382,                0.95426,                0.16909,                0.15986,                0.07938,                0.01942,                 3.5477,                 2.4398,                 1.1465,              0.0099786,              0.0099786,              0.0099786
                     16,                 2.2685,                 1.3342,                0.94689,                0.41807,                0.31716,                 0.2714,                0.06885,                 3.0153,                 1.6497,                 1.0606,              0.0099769,              0.0099769,              0.0099769
