                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.6709,                 47.024,                 4.2652,                      0,                      0,                      0,                      0,                 6.2316,                 173.65,                 3.7184,                 0.0012,                 0.0012,                 0.0012
                      1,                 6.1739,                 41.473,                  3.933,                      0,                      0,                      0,                      0,                  6.151,                  162.6,                  3.673,              0.0024975,              0.0024975,              0.0024975
                      2,                 6.0221,                 20.466,                 3.8556,                      0,                      0,                      0,                      0,                 5.9826,                 63.668,                 3.5869,              0.0037925,              0.0037925,              0.0037925
                      3,                 5.5474,                 9.0079,                 3.6229,                      0,                      0,                      0,                      0,                 5.6952,                 40.337,                 3.4869,              0.0050849,              0.0050849,              0.0050849
                      4,                 3.6772,                 4.3756,                 2.5863,                      0,                      0,                      0,                      0,                 5.5246,                 34.411,                 3.4572,              0.0063747,              0.0063747,              0.0063747
                      5,                 3.4989,                 3.9356,                 2.2228,                      0,                      0,                      0,                      0,                 5.3617,                 12.733,                 3.4142,              0.0076619,              0.0076619,              0.0076619
                      6,                 3.2148,                 3.1094,                 1.9228,                      0,                      0,                      0,                      0,                 5.6595,                 9.1253,                 3.1706,              0.0089465,              0.0089465,              0.0089465
                      7,                  2.854,                 2.7882,                 1.6963,                0.07591,                0.03445,                0.00707,                0.00249,                 3.3626,                 8.1211,                  2.467,              0.0099307,              0.0099307,              0.0099307
                      8,                 2.8387,                 2.5851,                 1.5698,                0.18925,                0.22114,                0.08694,                0.02033,                 3.0462,                 40.128,                 2.4272,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.5988,                 2.4226,                 1.4555,                0.08078,                0.21627,                0.03587,                0.00955,                 3.6416,                 115.77,                  3.105,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.4888,                 2.1102,                 1.3471,                0.53552,                0.27847,                0.22575,                0.09278,                 2.8379,                 128.04,                 2.1031,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.4274,                 2.0124,                 1.3549,                 0.0014,                 0.1445,                0.00073,                0.00016,                 4.3739,                    inf,                  3.923,               0.009901,               0.009901,               0.009901
                     12,                 2.1962,                 1.8543,                 1.3668,                 0.0041,                0.17512,                0.00183,                0.00049,                 3.7185,                 69.942,                 2.3852,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.9947,                 1.6884,                 1.1504,                0.12268,                 0.4313,                0.08246,                 0.0332,                 2.2921,                 4.7583,                 1.4031,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.0695,                 1.6584,                 1.2495,                0.44955,                0.43923,                0.32203,                0.11534,                 2.5741,                 5.5107,                 1.4473,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0144,                  1.507,                 1.2125,                0.64056,                0.56938,                0.56116,                0.16412,                 2.4075,                 4.4234,                 1.3585,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.9952,                 1.4587,                 1.1722,                0.42191,                0.35502,                0.32438,                0.09712,                  3.017,                 2.4778,                 1.6674,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.0154,                 1.4357,                 1.1859,                0.46347,                0.39809,                0.34345,                0.10372,                 2.6356,                 3.9939,                 1.4048,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.8663,                 1.3187,                 1.0802,                0.29036,                0.26603,                0.16994,                0.05008,                 3.0689,                 4.1443,                 1.6521,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.8237,                 1.3116,                 1.1271,                0.51885,                0.37416,                 0.2945,                0.13744,                 2.0291,                 2.6934,                 1.2063,              0.0098218,              0.0098218,              0.0098218
