                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.5522,                  118.2,                 4.0746,                      0,                      0,                      0,                      0,                 2.2369,                 23.918,                 1.3807,              0.0032937,              0.0032937,              0.0032937
                      1,                 4.2958,                 3.3608,                 1.7606,                0.00105,                0.06171,                0.00059,                0.00016,                 3.7612,                 6.4603,                 1.5075,              0.0066204,              0.0066204,              0.0066204
                      2,                 3.3237,                 2.6233,                 1.2494,                0.06252,                0.27049,                0.03902,                 0.0109,                 2.8192,                 3.4388,                 1.1929,              0.0099406,              0.0099406,              0.0099406
                      3,                 2.9275,                 2.2115,                 1.1456,                0.08758,                0.16454,                0.03463,                0.00976,                 3.2202,                  8.221,                 1.3533,              0.0099703,              0.0099703,              0.0099703
                      4,                 2.6541,                 1.9582,                  1.081,                0.14722,                0.33702,                0.09522,                0.02928,                 2.5528,                 6.7535,                 1.0852,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.4996,                 1.7607,                 1.0494,                0.51619,                0.43563,                0.39609,                0.12404,                 2.3885,                 1.6374,                 1.0542,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.3888,                 1.5811,                 1.0257,                0.54735,                0.46684,                 0.4176,                0.15104,                 2.3177,                  1.455,                 1.0423,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.2967,                 1.4777,                 1.0132,                0.29162,                0.22914,                0.15604,                0.03692,                 3.0997,                 2.1594,                 1.2209,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.2373,                  1.404,                 1.0052,                0.69447,                0.54378,                0.59677,                0.23244,                 2.1059,                 1.3734,                0.99516,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.1838,                 1.3634,                 0.9905,                0.67898,                 0.5456,                0.60238,                0.25335,                 2.0439,                 1.4009,                0.98619,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.1613,                 1.3242,                0.98454,                0.70487,                0.59661,                0.65615,                0.27944,                 1.9325,                  1.159,                0.96861,              0.0099109,              0.0099109,              0.0099109
                     11,                    2.1,                 1.2799,                0.97963,                 0.7171,                0.62731,                0.68092,                0.30299,                 1.9153,                 1.1163,                 0.9649,               0.009901,               0.009901,               0.009901
                     12,                 2.0765,                  1.267,                0.97881,                0.72808,                0.64173,                0.69783,                0.31866,                 1.8437,                 1.1084,                0.95176,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.0535,                 1.2364,                0.96908,                0.65913,                0.55471,                0.58578,                0.22228,                 2.0432,                 1.3255,                0.98493,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.0425,                 1.2275,                0.96619,                0.70183,                0.59496,                0.64566,                0.24927,                 2.1127,                 1.1857,                0.98383,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0017,                 1.1911,                0.96072,                0.51853,                0.44197,                0.40255,                0.11599,                 2.5151,                 1.5726,                  1.085,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.9802,                 1.1887,                0.96008,                0.63817,                0.55844,                0.56958,                0.19717,                 2.3499,                 1.2709,                 1.0363,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.9518,                 1.1568,                0.95232,                0.76142,                0.66946,                0.73551,                0.34077,                 1.7958,                  1.016,                0.94291,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.9447,                 1.1463,                0.94766,                0.77035,                0.67826,                0.74673,                0.35859,                  1.749,                 1.0539,                 0.9272,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.9413,                 1.1432,                 0.9519,                0.75532,                0.66457,                0.72796,                0.34021,                 1.7841,                 1.0241,                0.94895,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.9261,                 1.1286,                0.94708,                0.72611,                0.66321,                0.70593,                0.29236,                 1.9467,                 1.0629,                0.95969,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.8878,                 1.0956,                0.94173,                0.75598,                0.66258,                0.72534,                0.31508,                 1.8181,                 1.0394,                0.94454,               0.009802,               0.009802,               0.009802
                     22,                 1.9013,                  1.109,                0.94593,                  0.758,                0.66165,                0.72912,                0.32693,                 1.8478,                 1.0386,                0.94046,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.8865,                 1.0951,                  0.943,                0.71392,                 0.6296,                0.68034,                0.26185,                  2.007,                 1.0851,                0.97017,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.8681,                 1.0744,                0.94154,                0.79318,                0.69151,                0.76711,                0.38397,                 1.6782,                0.95093,                0.92024,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.8702,                 1.0751,                0.93619,                0.79769,                0.68294,                0.76269,                0.37155,                 1.7292,                0.98578,                0.92866,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.8434,                 1.0695,                0.93352,                0.79498,                0.71566,                0.78284,                0.39291,                 1.6735,                 0.9169,                0.91791,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.8449,                 1.0608,                0.93787,                0.78486,                0.70583,                 0.7749,                0.38669,                 1.7138,                0.92556,                0.92228,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.8218,                 1.0432,                0.93426,                0.79108,                0.71334,                0.78174,                0.37866,                  1.733,                0.94303,                0.92231,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.8212,                 1.0405,                0.93074,                0.79964,                0.70735,                0.78125,                0.38019,                 1.6972,                0.92025,                0.92317,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.7954,                 1.0217,                0.92305,                0.79733,                0.71776,                0.78323,                0.37439,                 1.7471,                0.90779,                0.92475,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.7978,                 1.0177,                0.92601,                0.79262,                0.72064,                0.78437,                0.37386,                 1.7105,                0.91225,                0.92448,               0.009703,               0.009703,               0.009703
                     32,                 1.7819,                 1.0063,                0.92582,                0.78372,                0.69829,                0.76538,                0.34437,                 1.7787,                0.96392,                0.92807,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.7914,                 1.0069,                0.92527,                0.80724,                0.71662,                0.78854,                0.38103,                 1.6928,                0.93661,                 0.9207,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.7749,                0.99635,                 0.9215,                0.80802,                0.74483,                 0.8067,                0.41681,                  1.586,                 0.8862,                 0.9012,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.7782,                0.99439,                 0.9232,                0.82386,                0.75076,                0.81761,                0.42426,                 1.6068,                0.84897,                0.90605,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.7485,                0.97415,                0.91997,                0.78396,                0.70015,                 0.7619,                0.35132,                 1.7217,                 1.0473,                0.92626,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.7495,                 0.9732,                0.92157,                0.81243,                 0.7318,                0.80435,                0.40947,                 1.6399,                0.87717,                0.91422,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.7464,                0.97115,                0.91996,                0.79915,                0.73027,                 0.7972,                0.37493,                 1.7322,                0.89462,                0.92857,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.7345,                 0.9694,                0.91754,                0.82544,                0.74212,                 0.8201,                0.43314,                 1.5851,                0.85204,                0.90212,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.7344,                0.96203,                0.91422,                0.79882,                0.73522,                0.79874,                0.37709,                 1.7436,                0.89957,                0.93106,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.7281,                0.96518,                0.91948,                0.80352,                0.72695,                0.79865,                0.37674,                 1.7139,                0.88775,                0.91789,               0.009604,               0.009604,               0.009604
                     42,                 1.7194,                0.95454,                0.91406,                0.82843,                0.75495,                0.82693,                0.43779,                 1.5769,                0.83284,                0.90228,              0.0095941,              0.0095941,              0.0095941
