                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9555,                 119.71,                 1.7717,                      0,                      0,                      0,                      0,                0.27427,                 3.1242,                0.16581,              0.0032993,              0.0032993,              0.0032993
                      2,                 3.8051,                 2.8635,                 1.3782,                0.10555,                0.13254,                0.03657,                0.00741,                 3.3474,                 35.096,                 1.1497,              0.0066308,              0.0066308,              0.0066308
                      3,                 3.1862,                 2.3146,                 1.0911,                0.32976,                0.28578,                0.20093,                0.05762,                 2.6549,                 29.933,                 1.0048,              0.0099603,              0.0099603,              0.0099603
                      4,                 2.8277,                 1.9511,                 1.0175,                0.36366,                0.32602,                0.23994,                0.06994,                 2.7331,                 4.7444,                 1.0176,              0.0099915,              0.0099915,              0.0099915
                      5,                 2.5894,                 1.6997,                0.97918,                0.43367,                0.34084,                0.29773,                0.08034,                  2.871,                 4.8128,                 1.0068,              0.0099915,              0.0099915,              0.0099915
                      6,                 2.4519,                 1.5582,                0.96418,                0.45127,                0.35887,                0.33018,                 0.0882,                 2.8037,                 3.1487,                0.98162,              0.0099887,              0.0099887,              0.0099887
                      7,                 2.3409,                 1.4487,                0.95505,                0.39323,                0.28014,                0.23227,                0.05429,                 3.1377,                 3.0516,                 1.0441,              0.0099859,              0.0099859,              0.0099859
                      8,                 2.2974,                 1.4142,                0.94192,                 0.4318,                0.31495,                0.27926,                0.07109,                 3.0116,                 2.3459,                 1.0273,               0.009983,               0.009983,               0.009983
                      9,                 2.2371,                 1.3543,                0.93498,                0.53395,                0.37646,                0.39043,                0.13743,                 2.3336,                 2.0881,                 0.9365,              0.0099802,              0.0099802,              0.0099802
                     10,                  2.192,                 1.3135,                 0.9348,                0.25937,                0.19413,                  0.112,                0.02298,                 3.5972,                 2.9197,                 1.1181,              0.0099774,              0.0099774,              0.0099774
                     11,                 2.1664,                  1.296,                 0.9231,                0.62837,                0.52193,                0.56292,                0.23581,                 2.0432,                 2.1004,                0.89046,              0.0099745,              0.0099745,              0.0099745
                     12,                 2.1325,                 1.2562,                 0.9201,                0.61092,                0.50359,                0.52761,                0.19148,                 2.2855,                 2.5057,                0.91681,              0.0099717,              0.0099717,              0.0099717
                     13,                 2.1009,                 1.2173,                0.91277,                0.57346,                0.44975,                0.47167,                0.15661,                 2.3752,                 1.8937,                0.94499,              0.0099689,              0.0099689,              0.0099689
                     14,                 2.0661,                  1.206,                0.91253,                0.60008,                0.47006,                0.48704,                0.17064,                 2.3638,                 10.023,                0.92976,              0.0099661,              0.0099661,              0.0099661
                     15,                 2.0604,                 1.1974,                0.91051,                0.57032,                0.46385,                0.46896,                 0.1364,                 2.5034,                  1.909,                0.94438,              0.0099632,              0.0099632,              0.0099632
                     16,                 2.0563,                 1.1889,                0.90924,                0.64903,                0.56394,                0.59975,                0.23802,                 2.0729,                 2.5718,                0.89164,              0.0099604,              0.0099604,              0.0099604
                     17,                 2.0078,                 1.1529,                0.90129,                 0.6761,                0.59603,                0.64141,                0.27425,                 1.9089,                  1.508,                0.87173,              0.0099576,              0.0099576,              0.0099576
                     18,                 2.0088,                 1.1454,                0.90081,                0.67559,                0.58754,                0.63982,                0.27908,                 1.8542,                 1.5644,                0.86407,              0.0099547,              0.0099547,              0.0099547
                     19,                 1.9874,                 1.1354,                0.89848,                0.68789,                0.59708,                0.65253,                0.28777,                 1.8646,                   2.17,                0.86087,              0.0099519,              0.0099519,              0.0099519
                     20,                 1.9571,                 1.1011,                0.90036,                0.66394,                0.55167,                0.59876,                0.24045,                 2.0611,                  2.975,                0.88762,              0.0099491,              0.0099491,              0.0099491
                     21,                 1.9553,                 1.1019,                0.89738,                0.68867,                 0.5916,                0.65028,                0.28011,                 1.9632,                  1.723,                0.87228,              0.0099463,              0.0099463,              0.0099463
                     22,                 1.9432,                 1.1025,                0.89592,                0.69182,                0.57739,                0.64719,                0.27239,                 1.8897,                 1.4776,                0.86674,              0.0099434,              0.0099434,              0.0099434
                     23,                 1.9482,                 1.0784,                0.89484,                0.66991,                0.57114,                0.62607,                0.25411,                 2.0092,                 1.5209,                0.88523,              0.0099406,              0.0099406,              0.0099406
                     24,                 1.9311,                 1.0794,                0.89277,                 0.6753,                0.57017,                0.62686,                0.25174,                 2.0141,                 1.3051,                0.88198,              0.0099378,              0.0099378,              0.0099378
                     25,                 1.8932,                 1.0451,                0.89059,                0.74312,                0.64185,                0.71715,                0.33215,                 1.7748,                 1.1818,                0.85357,              0.0099349,              0.0099349,              0.0099349
                     26,                 1.9001,                   1.05,                0.89156,                0.70116,                0.61707,                0.68308,                0.29748,                 1.8796,                 1.3787,                0.86429,              0.0099321,              0.0099321,              0.0099321
                     27,                 1.8608,                 1.0219,                0.89085,                0.71195,                 0.6213,                0.68826,                0.29023,                 1.9428,                 1.7201,                0.87163,              0.0099293,              0.0099293,              0.0099293
                     28,                 1.8688,                 1.0168,                 0.8888,                0.71654,                0.63076,                0.69606,                0.30707,                 1.8682,                  1.635,                0.86479,              0.0099265,              0.0099265,              0.0099265
                     29,                  1.883,                 1.0276,                0.89257,                0.71659,                0.61213,                0.68007,                0.29521,                 1.8568,                 1.2395,                0.86383,              0.0099236,              0.0099236,              0.0099236
                     30,                 1.8697,                 1.0307,                0.88913,                0.71714,                0.60032,                0.67083,                0.28468,                 1.9533,                 1.9121,                0.87446,              0.0099208,              0.0099208,              0.0099208
                     31,                 1.8677,                 1.0219,                0.88796,                0.72152,                0.63686,                0.70211,                0.31078,                 1.8542,                 1.4487,                0.86177,               0.009918,               0.009918,               0.009918
                     32,                 1.8558,                 1.0037,                0.88894,                0.73518,                0.63376,                0.70809,                0.32328,                 1.7898,                 1.3455,                0.85163,              0.0099151,              0.0099151,              0.0099151
                     33,                 1.8723,                 1.0064,                0.88789,                0.73506,                0.63532,                0.71183,                0.32725,                 1.8072,                 1.2106,                0.85746,              0.0099123,              0.0099123,              0.0099123
                     34,                 1.8456,                0.98609,                0.88581,                0.74706,                0.63281,                0.71375,                0.32693,                 1.7832,                 1.1074,                0.85554,              0.0099095,              0.0099095,              0.0099095
                     35,                 1.8103,                0.98029,                0.88214,                0.75162,                0.67162,                0.74684,                0.36621,                  1.647,                 1.1579,                0.83916,              0.0099067,              0.0099067,              0.0099067
                     36,                 1.8042,                0.97058,                0.87724,                 0.7565,                0.66042,                 0.7388,                0.34457,                 1.7783,                 1.1554,                0.85281,              0.0099038,              0.0099038,              0.0099038
                     37,                 1.8142,                0.97607,                 0.8804,                0.71372,                0.60176,                0.67093,                0.27363,                  2.005,                 1.3136,                0.87736,               0.009901,               0.009901,               0.009901
                     38,                 1.8162,                0.97753,                0.88071,                0.75029,                0.64598,                0.72514,                0.33036,                 1.8004,                 1.1195,                0.85339,              0.0098982,              0.0098982,              0.0098982
                     39,                 1.8057,                0.96826,                0.88157,                0.74724,                0.64964,                0.73031,                0.32969,                 1.8639,                 1.2324,                0.85884,              0.0098953,              0.0098953,              0.0098953
                     40,                 1.7894,                0.95675,                0.87978,                0.77508,                0.69819,                0.77256,                0.37894,                 1.6366,                 1.0767,                0.83583,              0.0098925,              0.0098925,              0.0098925
                     41,                 1.8105,                0.96147,                0.87843,                0.74071,                0.65767,                0.73086,                0.32693,                 1.8317,                 1.1034,                0.85813,              0.0098897,              0.0098897,              0.0098897
                     42,                 1.7917,                0.95462,                0.87898,                0.76181,                0.66594,                 0.7449,                0.35415,                 1.7255,                 1.1498,                0.84576,              0.0098869,              0.0098869,              0.0098869
                     43,                 1.8203,                0.96909,                0.88156,                0.74587,                0.66471,                0.73891,                0.33525,                 1.8164,                 1.1037,                0.85177,               0.009884,               0.009884,               0.009884
                     44,                 1.7964,                0.97033,                0.88131,                0.73553,                0.65445,                0.72637,                0.32627,                 1.8514,                 1.1978,                 0.8589,              0.0098812,              0.0098812,              0.0098812
                     45,                 1.7618,                0.94007,                0.87666,                0.77433,                0.69272,                0.76982,                0.37799,                 1.6553,                 1.0634,                0.83662,              0.0098784,              0.0098784,              0.0098784
                     46,                 1.7601,                0.93174,                0.87333,                0.75193,                0.67084,                 0.7417,                0.33449,                  1.848,                 1.0924,                0.85605,              0.0098755,              0.0098755,              0.0098755
                     47,                 1.7736,                0.95371,                0.87474,                0.74138,                0.65744,                0.73267,                0.32744,                 1.8514,                 1.0667,                0.85696,              0.0098727,              0.0098727,              0.0098727
                     48,                  1.752,                0.93162,                0.87649,                0.74701,                0.66555,                0.73519,                0.32556,                 1.8797,                 1.2005,                 0.8605,              0.0098699,              0.0098699,              0.0098699
                     49,                 1.7757,                0.94078,                0.87685,                0.76608,                0.67383,                0.75587,                0.34742,                 1.8175,                 1.1686,                0.85235,              0.0098671,              0.0098671,              0.0098671
                     50,                 1.7558,                0.92036,                0.87584,                0.74002,                0.63325,                0.70672,                0.30526,                 1.8975,                 1.1602,                0.86645,              0.0098642,              0.0098642,              0.0098642
                     51,                 1.7387,                0.91564,                 0.8723,                0.75837,                0.67148,                 0.7473,                0.34869,                 1.7851,                 1.0991,                0.84945,              0.0098614,              0.0098614,              0.0098614
                     52,                 1.7407,                0.91897,                0.87299,                0.75409,                0.64931,                0.73125,                0.32479,                 1.8708,                 1.0771,                0.85926,              0.0098586,              0.0098586,              0.0098586
                     53,                   1.75,                0.92187,                0.87333,                0.79159,                0.70533,                0.78872,                0.40408,                 1.5651,                0.91239,                0.82672,              0.0098557,              0.0098557,              0.0098557
                     54,                 1.7753,                 0.9266,                0.87786,                0.78221,                0.70296,                0.77991,                0.38472,                 1.6652,                 1.0407,                0.83595,              0.0098529,              0.0098529,              0.0098529
                     55,                 1.7229,                0.90475,                0.87565,                0.77649,                0.68526,                0.76862,                  0.373,                 1.6592,                0.95044,                0.83633,              0.0098501,              0.0098501,              0.0098501
                     56,                 1.7308,                0.91996,                0.87247,                0.77845,                0.68929,                0.77208,                0.37186,                  1.739,                0.99188,                0.84364,              0.0098473,              0.0098473,              0.0098473
                     57,                 1.7336,                0.91639,                 0.8717,                 0.7757,                0.68264,                0.76886,                 0.3757,                 1.6685,                0.98177,                0.83574,              0.0098444,              0.0098444,              0.0098444
                     58,                 1.7431,                0.91501,                0.87244,                0.78615,                0.69976,                0.78274,                0.38429,                 1.6366,                0.97275,                0.83591,              0.0098416,              0.0098416,              0.0098416
                     59,                 1.7258,                0.89977,                0.87046,                0.79186,                0.70329,                 0.7868,                0.39444,                 1.6174,                0.95587,                0.83207,              0.0098388,              0.0098388,              0.0098388
                     60,                 1.7145,                0.89781,                0.86813,                 0.7749,                0.69484,                0.77313,                0.37366,                 1.6872,                 1.0224,                0.83947,              0.0098359,              0.0098359,              0.0098359
                     61,                 1.7293,                0.89853,                0.87323,                0.78864,                0.71382,                0.79184,                0.39802,                 1.6089,                0.88298,                 0.8311,              0.0098331,              0.0098331,              0.0098331
                     62,                 1.7003,                0.88721,                0.86896,                0.78965,                0.70863,                0.78927,                0.39456,                  1.622,                 0.9327,                 0.8305,              0.0098303,              0.0098303,              0.0098303
                     63,                 1.7235,                0.89716,                0.87281,                0.76013,                0.67743,                0.75742,                 0.3512,                 1.7819,                 1.0183,                0.85023,              0.0098275,              0.0098275,              0.0098275
                     64,                 1.6933,                0.88848,                0.86706,                0.79747,                0.72585,                0.80535,                0.41411,                 1.5483,                0.89829,                0.82473,              0.0098246,              0.0098246,              0.0098246
                     65,                 1.7127,                0.89168,                 0.8669,                0.77522,                0.69324,                 0.7724,                 0.3652,                 1.7206,                 1.0137,                0.84395,              0.0098218,              0.0098218,              0.0098218
                     66,                 1.7123,                0.89776,                 0.8677,                0.78357,                0.70518,                0.78557,                 0.3779,                 1.6748,                0.93028,                0.83798,               0.009819,               0.009819,               0.009819
                     67,                  1.693,                0.87739,                0.86807,                0.79278,                0.71858,                0.80046,                0.40711,                 1.5751,                0.96272,                0.82464,              0.0098161,              0.0098161,              0.0098161
                     68,                 1.6997,                0.88141,                0.86801,                0.78455,                0.70261,                 0.7866,                0.38871,                 1.6494,                0.89609,                0.83381,              0.0098133,              0.0098133,              0.0098133
                     69,                 1.7123,                0.89266,                0.87012,                 0.7986,                0.71392,                0.79852,                0.40382,                 1.6101,                0.92734,                0.83029,              0.0098105,              0.0098105,              0.0098105
                     70,                 1.7285,                0.90419,                0.86847,                0.79983,                0.71242,                0.79686,                0.40276,                 1.5973,                0.94173,                0.82885,              0.0098077,              0.0098077,              0.0098077
                     71,                 1.6947,                0.87551,                0.86856,                0.79044,                0.70664,                0.79175,                0.38967,                 1.6713,                0.95257,                0.83557,              0.0098048,              0.0098048,              0.0098048
