                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7987,                  51.35,                 1.0091,                0.02727,                0.08917,                0.02062,                0.00608,                 3.6057,                 2.9805,                  1.385,              0.0033221,              0.0033221,              0.0033221
                      1,                 3.3049,                 2.3511,                 1.1575,                 0.4455,                0.36267,                0.32136,                0.10579,                 2.4337,                 3.0282,                0.96995,              0.0066488,              0.0066488,              0.0066488
                      2,                 2.8449,                 1.8756,                 1.0254,                0.11177,                 0.0418,                0.01815,                 0.0046,                 4.0902,                 3.7153,                 1.1941,               0.009969,               0.009969,               0.009969
                      3,                 2.5781,                 1.6423,                0.98367,                0.57744,                0.52042,                 0.4962,                0.18345,                 2.1597,                 2.4899,                0.90097,              0.0099703,              0.0099703,              0.0099703
                      4,                 2.3959,                 1.4575,                0.95662,                0.51494,                0.36209,                0.36553,                0.12214,                 2.4612,                 2.2829,                0.94143,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2679,                 1.3613,                 0.9422,                0.58075,                0.48888,                0.48672,                   0.16,                 2.3396,                 2.3874,                0.92134,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.1786,                 1.2718,                0.93068,                0.66956,                0.59061,                0.63025,                0.27612,                 1.8403,                 1.8537,                0.85923,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.1173,                 1.2239,                 0.9206,                0.68634,                0.61763,                0.65017,                0.28408,                 1.8568,                 1.9327,                0.86228,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.0806,                 1.1899,                 0.9165,                0.68452,                0.61101,                0.66182,                 0.2967,                 1.8318,                 1.5037,                0.85553,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.0362,                 1.1499,                0.91134,                0.70773,                0.59741,                0.66029,                0.29555,                 1.8129,                 1.3714,                0.85722,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.9919,                 1.1219,                0.90664,                0.69448,                0.62522,                0.67773,                0.31332,                 1.7508,                 2.0617,                0.84759,              0.0099109,              0.0099109,              0.0099109
